,0
0,EPSAS
1,SAGUAPAC
2,COSMOL
3,ELAPAS
4,SEMAPA
5,SELA
6,COATRI
7,CAPAG
8,AAPOS
9,COSAALT
10,EMAPYC
11,COSPHUL
12,COSCHAL
13,COOPAGUAS
14,COSPAIL
15,COOPLAN
16,EMAAB
17,LA GUARDIA
18,COOPAPPI
19,COSMIN
20,EMSABAV
21,COSPAS
22,SEAPAS
23,COSAP
24,COOPLIM
25,MANCHACO
26,COSEPW
27,COOPAGUAB
28,COSERCA
29,COSPUGEBUL
30,EMAPAS
31,COOSPELCAR
32,COSAJU
33,EPSA COBIJA
34,6 DE OCTUBRE
35,COOSIV
36,EMAPAV
37,COSAPAC
38,SAMAPAR
39,CAPU
40,EMPSAAT
41,COAPASB
42,LA PORTEÃ‘A
43,SAJUBA
44,BUSTILLO
45,EMAPA
46,SEMAPAR
47,FLORIDA
48,COSFAL
49,COSPOL
50,COSEPFA
51,COMAYO
52,COSSAJA
53,COSMON
54,COSIMBO
55,COSAPSI
56,COAPAS VINTO
57,CAPSCH
58,COOAPASH
59,COSEPP
60,AGUAYSES
61,CAPCHI
62,COSEPCO
63,SMAPA
64,COSEPUR
65,ASOAPAL
66,JASAP
67,COLOMI
68,COOSAJO
69,JOROCHITO
